YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2010,2010,AK,Alaska,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(64.84507995700051, -147.72205903599973)", ,2,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,AL,Alabama,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(32.84057112200048, -86.63186076199969)", ,1,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,AR,Arkansas,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,9.5,9.5, , ,9.15,9.85,Overall,Overall, , , , ,"(34.74865012400045, -92.27449074299966)", ,5,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,AZ,Arizona,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,12.4,12.4, , ,12.13,12.68,Overall,Overall, , , , ,"(34.865970280000454, -111.76381127699972)", ,4,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,CA,California,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,9.25,9.25, , ,9.15,9.35,Overall,Overall, , , , ,"(37.63864012300047, -120.99999953799971)", ,6,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,CO,Colorado,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,8.72,8.72, , ,8.46,8.98,Overall,Overall, , , , ,"(38.843840757000464, -106.13361092099967)", ,8,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,CT,Connecticut,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(41.56266102000046, -72.64984095199964)", ,9,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,DC,District of Columbia,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(38.907192, -77.036871)", ,11,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,DE,Delaware,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(39.008830667000495, -75.57774116799965)", ,10,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,FL,Florida,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,15.39,15.39, , ,15.22,15.56,Overall,Overall, , , , ,"(28.932040377000476, -81.92896053899966)", ,12,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
